sheet,gaap
,AcceleratedShareRepurchasesFinalPricePaidPerShare
balance,AccountsPayable
balance,AccountsPayableCurrent
balance,AccountsReceivableNetCurrent
,AccruedIncomeTaxesCurrent
,AccruedIncomeTaxesNoncurrent
balance,AccruedLiabilities
balance,AccruedLiabilitiesCurrent
,AccruedMarketingAndDistributionCurrent
,AccruedMarketingCostsCurrent
balance,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment
balance,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipmentAndCapitalizedSoftware
,AccumulatedOtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentNetOfTax
,AccumulatedOtherComprehensiveIncomeLossCumulativeChangesInNetGainLossFromCashFlowHedgesEffectNetOfTax
,AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax
,AccumulatedOtherComprehensiveIncomeLossNetOfTax
,AdditionalStockRepurchasedAndRetiredDuringPeriodShares
,AdjustmentForGainLossOnInvestmentsIncludedInNetIncomeNetOfTax
,AdjustmentsRelatedToTaxWithholdingForShareBasedCompensation
,AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue
,AdjustmentsToAdditionalPaidInCapitalTaxEffectFromShareBasedCompensation
,AdjustmentsToAdditionalPaidInCapitalTaxEffectFromShareBasedCompensationIncludingTransferPricing
,AdvertisingExpense
,AllocatedShareBasedCompensationExpense
,AllowanceForDoubtfulAccountsReceivableCurrent
,AmortizationOfIntangibleAssets
,AmountOfEstimatedRangeOfReasonablyPossibleChangeInUnrecognizedTaxBenefitsThatWouldImpactEffectiveTaxRate
,AmountUtilizedUnderAcceleratedShareRepurchaseProgram
,AmountUtilizedUnderShareRepurchaseProgram
,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount
balance,Assets
balance,AssetsCurrent
balance,AssetsNoncurrent
,Available-For-SaleSecuritiesDebtSecuritiesUnrealizedGainsLossesNet
,AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedGainBeforeTax
,AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedLossBeforeTax
,AvailableForSaleDebtSecuritiesAmortizedCostBasis
,AvailableForSaleSecurities
,AvailableForSaleSecuritiesAccumulatedGrossUnrealizedGainBeforeTax
,AvailableForSaleSecuritiesAccumulatedGrossUnrealizedLossBeforeTax
,AvailableForSaleSecuritiesAmortizedCost
,AvailableForSaleSecuritiesContinuousUnrealizedLossLessThanTwelveMonths
,AvailableForSaleSecuritiesContinuousUnrealizedLossPosition12MonthsOrLongerAccumulatedLoss
,AvailableForSaleSecuritiesContinuousUnrealizedLossPositionAccumulatedLoss
,AvailableForSaleSecuritiesContinuousUnrealizedLossPositionFairValue
,AvailableForSaleSecuritiesContinuousUnrealizedLossPositionLessThan12MonthsAccumulatedLoss
,AvailableForSaleSecuritiesContinuousUnrealizedLossPositionLessThanTwelveMonthsFairValue
,AvailableForSaleSecuritiesContinuousUnrealizedLossPositionTwelveMonthsOrLongerFairValue
,AvailableForSaleSecuritiesContinuousUnrealizedLossTwelveMonthsOrLonger
,AvailableForSaleSecuritiesCurrent
,AvailableForSaleSecuritiesDebtMaturitiesRollingAfterYearTenFairValue
,AvailableForSaleSecuritiesDebtMaturitiesRollingYearSixThroughTenFairValue
