date,period,months,accounts_payable,accumulated_amortization_finitelived_intangible_assets,accumulated_depreciation_fixed_assets,accumulated_other_comprehensive_income_loss,accumulated_other_comprehensive_income_loss_derivatives_adjustment,accumulated_other_comprehensive_income_loss_investment_adjustment,acquisition_divestitures_payments,advertising_expense,annual_debt_cashflow,annual_debt_proceeds,annual_debt_repayments,assets,average_shares_outstanding_basic,average_shares_outstanding_diluted,bad_trade_receivables,cash,cash_cash_equivalents,cash_cash_equivalents_restricted_cash_cash_equivalents,cash_equivalents,cashflow,change_accounts_payable,change_current_deferred_revenue,change_current_trade_receivables,change_inventories,change_other_current_assets,change_other_current_liabilities,commercial_paper,common_stock,common_stock_additional_paid_in_capital,common_stock_dividend_payments,comprehensive_income_loss,current_accrued_liabilities,current_accrued_marketing_expenses,current_accrued_taxes,current_assets,current_debt_cashflow,current_debt_securities,current_deferred_revenue,current_employee_related_liabilities,current_liabilities,current_longterm_debt,current_prepaid_expenses,current_securities,current_tax_assets,current_trade_receivables,debt_proceeds,debt_repayments,debt_securities_payments,debt_securities_proceeds,deferred_tax,depreciation,depreciation_depletion_amortization_accretion,derivatives_adjustment,derivatives_gain_loss_before_reclassification_after_tax,derivatives_gain_loss_reclassification_after_tax,dividend_payments,earnings_per_share_basic,earnings_per_share_diluted,equity,financing_cashflow,finished_goods,finitelived_intangible_assets,fixed_assets,fixed_assets_payments,foreign_currency_transaction_translation_adjustment,foreign_currency_transaction_translation_adjustment_tax,foreign_deferred_tax,furniture_fixtures,goodwill,gross_finitelived_intangible_assets,gross_fixed_assets,gross_intangible_assets,gross_profit,infinitelived_intangible_assets,intangible_assets,intangible_assets_amortization,intangible_assets_payments,interest_expense,inventory,investing_cashflow,investment_income,land_buildings,lease_rental_expense,liabilities,liabilities_equity,liquid_assets,local_deferred_tax,machinery_equipment,maturing_securities_proceeds,national_deferred_tax,net_income_loss,noncurrent_accrued_taxes,noncurrent_assets,noncurrent_debt_securities,noncurrent_deferred_revenue,noncurrent_liabilities,noncurrent_longterm_debt,noncurrent_securities,noncurrent_tax_liabilities,nonoperating_income_expense,nontrade_receivables,operating_cashflow,operating_expenses,operating_income_loss,other_comprehensive_income_loss,other_current_accrued_liabilities,other_current_assets,other_current_debt,other_current_debt_proceeds,other_current_debt_repayments,other_current_liabilities,other_financing_cashflow,other_investing_cashflow,other_noncurrent_accrued_liabilities,other_noncurrent_assets,other_noncurrent_liabilities,other_nonoperating_income_expense,other_operating_cashflow,parts_components,pretax_income_loss,product_revenue,product_revenue_cost,quarterly_debt_cashflow,research_development_expense,restricted_cash,restricted_cash_cash_equivalents,retained_earnings_accumulated_deficit,revenue,revenue_cost,securities_adjustment,securities_payments,securities_sales_reclassification,securities_sales_reclassification_tax,securities_unrealized_gain_loss,selling_general_administrative_expense,service_revenue,service_revenue_cost,sharebased_compensation,stock_payments,stock_proceeds,tax_expense_benefit,work_in_progress_raw_materials,debt_cashflow,current_debt,fixed_assets_cashflow,other_current_debt_cashflow,securities_cashflow,stock_cashflow,current_receivables,noncurrent_accrued_liabilities,nonoperating_income,acquisition_divestitures_cashflow,intangible_assets_cashflow,non_operating_expenses,financing_cash_inflow,working_capital,investing_cash_outflow,tax_ratio,interest_burden,net_profit_margin,tax_burden,return_on_equity
2009-06-27,Q3,3,4854000000.0,,,53000000.0,,,,,,,,48140000000.0,893712000.0,909160000.0,58000000.0,,5605000000.0,,,,,,,,,,,7957000000.0,,,,3338000000.0,,,35170000000.0,,,8469000000.0,,16661000000.0,,,18617000000.0,1731000000.0,2686000000.0,,,,,,,,,,,,1.38,1.35,25888000000.0,,,,2653000000.0,,,,,,207000000.0,,,,3023000000.0,,259000000.0,,,,380000000.0,,,,,22252000000.0,48140000000.0,24222000000.0,,,,,1229000000.0,,12970000000.0,,3667000000.0,,,6899000000.0,,60000000.0,,,1351000000.0,1672000000.0,,,6151000000.0,,,,,,,,2952000000.0,1924000000.0,,,,1732000000.0,,,,341000000.0,,,17878000000.0,8337000000.0,5314000000.0,,,,,,1010000000.0,,,,,,503000000.0,,,,,,,,,,,,,,,,,0.29041570438799075,1.0358851674641147,0.1474151373395706,0.7095842956120092,0.04747373300370828
2009-09-26,FY,12,5601000000.0,,,84000000.0,,,,,,,,53851000000.0,893016000.0,907005000.0,52000000.0,,5263000000.0,,,,92000000.0,6908000000.0,939000000.0,-54000000.0,1346000000.0,-184000000.0,,8210000000.0,,,5780000000.0,3376000000.0,,,36265000000.0,,,10305000000.0,,19282000000.0,,,18201000000.0,2101000000.0,3361000000.0,,,,,-519000000.0,,703000000.0,,,,,6.39,6.29,27832000000.0,663000000.0,,,2954000000.0,1144000000.0,,,,,206000000.0,,,,13140000000.0,,247000000.0,,69000000.0,,455000000.0,-17434000000.0,,,,26019000000.0,53851000000.0,23464000000.0,,,19790000000.0,,5704000000.0,,17586000000.0,,4485000000.0,,,10528000000.0,,326000000.0,,10159000000.0,5482000000.0,7658000000.0,,,6884000000.0,,,,,,74000000.0,,3651000000.0,2252000000.0,,,,7984000000.0,,,,1333000000.0,,,19538000000.0,36537000000.0,23397000000.0,,46724000000.0,,,,4149000000.0,,,710000000.0,,475000000.0,2280000000.0,,,,1144000000.0,,,,,,,,-69000000.0,,,,,0.28557114228456915,1.0425698615826586,0.15611571831294305,0.7144288577154309,0.20494394941075023
2009-09-26,Q4,3,5601000000.0,,,84000000.0,,,,,,,,53851000000.0,1671000.0,2456000.0,52000000.0,,5263000000.0,,,,740000000.0,2654000000.0,675000000.0,75000000.0,530000000.0,16000000.0,,8210000000.0,,,,3376000000.0,,,36265000000.0,,,10305000000.0,,19282000000.0,,,18201000000.0,2101000000.0,3361000000.0,,,,,-318000000.0,,197000000.0,,,,,996.4093357271095,677.9315960912052,27832000000.0,319000000.0,,,2954000000.0,459000000.0,,,,,206000000.0,,,,3614000000.0,,247000000.0,,13000000.0,,455000000.0,-3771000000.0,,,,26019000000.0,53851000000.0,23464000000.0,,,7010000000.0,,1665000000.0,,17586000000.0,,4485000000.0,,,10528000000.0,,45000000.0,,3110000000.0,1421000000.0,2193000000.0,,,6884000000.0,,,,,,12000000.0,,3651000000.0,2252000000.0,,,,2238000000.0,,,,358000000.0,,,19538000000.0,9870000000.0,6256000000.0,,12028000000.0,,,,1063000000.0,,,180000000.0,,187000000.0,573000000.0,,,,459000000.0,,,,,,,,-13000000.0,,,,,0.25603217158176944,1.0205198358413132,0.16869300911854104,0.7439678284182306,0.05982322506467376
2009-12-26,Q1,3,6511000000.0,,,111000000.0,,,,,,,,53926000000.0,903542000.0,919783000.0,54000000.0,,7609000000.0,,,,956000000.0,606000000.0,-271000000.0,121000000.0,-47000000.0,316000000.0,,8962000000.0,,,,3996000000.0,,,33332000000.0,,,2590000000.0,,13097000000.0,,,17187000000.0,1180000000.0,3090000000.0,,,,,425000000.0,,209000000.0,,,,,3.74,3.67,35768000000.0,523000000.0,,,3115000000.0,376000000.0,,,,,253000000.0,,,,6411000000.0,,241000000.0,,5000000.0,,576000000.0,-3958000000.0,,,,18158000000.0,53926000000.0,24796000000.0,,,6216000000.0,,3378000000.0,,20594000000.0,,922000000.0,,,15024000000.0,,33000000.0,,5781000000.0,1686000000.0,4725000000.0,,,3690000000.0,,,,,,64000000.0,,1961000000.0,4139000000.0,,,,4758000000.0,,,,398000000.0,,,26695000000.0,15683000000.0,9272000000.0,,12922000000.0,,,,1288000000.0,,,205000000.0,,374000000.0,1380000000.0,,,,376000000.0,,,,,,,,-5000000.0,,,,,0.2900378310214376,1.006984126984127,0.21539246317668814,0.7099621689785625,0.094441959293223
2010-03-27,Q2,3,5666000000.0,,,125000000.0,,,,,,,,57057000000.0,907548000.0,922878000.0,57000000.0,,10018000000.0,,,,-974000000.0,-29000000.0,-211000000.0,62000000.0,-102000000.0,-603000000.0,,9553000000.0,,,,4021000000.0,,,32336000000.0,,,2542000000.0,,12229000000.0,,,13137000000.0,1142000000.0,2886000000.0,,,,,468000000.0,,216000000.0,,,,,3.39,3.33,39348000000.0,162000000.0,,,3504000000.0,274000000.0,,,,,480000000.0,,,,5625000000.0,,263000000.0,,27000000.0,,638000000.0,-83000000.0,,,,17709000000.0,57057000000.0,23155000000.0,,,7115000000.0,,3074000000.0,,24721000000.0,,941000000.0,,,18549000000.0,,50000000.0,,2330000000.0,1646000000.0,3979000000.0,,,4515000000.0,,,,,,-83000000.0,,1925000000.0,4539000000.0,,,,4029000000.0,,,,426000000.0,,,29670000000.0,13499000000.0,7874000000.0,,12139000000.0,,,,1220000000.0,,,231000000.0,,160000000.0,955000000.0,,,,274000000.0,,,,,,,,-27000000.0,,,,,0.23703152146934722,1.0125659713495854,0.22772057189421438,0.7629684785306527,0.07812341160923046
2010-06-26,Q3,3,8469000000.0,,2238000000.0,108000000.0,42000000.0,81000000.0,290000000.0,,,,,64725000000.0,912197000.0,927361000.0,52000000.0,1926000000.0,9705000000.0,,7779000000.0,,2830000000.0,229000000.0,561000000.0,304000000.0,220000000.0,48000000.0,,10133000000.0,,,3236000000.0,4452000000.0,365000000.0,56000000.0,36033000000.0,,14583000000.0,2691000000.0,405000000.0,15612000000.0,,,14583000000.0,1216000000.0,3447000000.0,,,,,405000000.0,,273000000.0,,,,,3.57,3.51,43111000000.0,316000000.0,,,3990000000.0,595000000.0,,,,133000000.0,714000000.0,,6228000000.0,,6136000000.0,,318000000.0,,31000000.0,,942000000.0,-5430000000.0,,1302000000.0,,21614000000.0,64725000000.0,45839000000.0,,2898000000.0,6427000000.0,,3253000000.0,,,21551000000.0,1021000000.0,,,,3828000000.0,58000000.0,2952000000.0,4801000000.0,1902000000.0,4234000000.0,,2525000000.0,3188000000.0,,,,,,45000000.0,1153000000.0,2119000000.0,4981000000.0,,,,4292000000.0,,,,464000000.0,,,32870000000.0,15700000000.0,9564000000.0,,,,,,1438000000.0,,,219000000.0,,199000000.0,1039000000.0,,,,595000000.0,,,,2952000000.0,,,-290000000.0,-31000000.0,,,-9027000000.0,,0.24207828518173347,1.0136986301369864,0.20719745222929936,0.7579217148182665,0.07545638004221661
2010-09-25,FY,12,12015000000.0,245000000.0,2466000000.0,-46000000.0,-252000000.0,171000000.0,638000000.0,691000000.0,,,,75183000000.0,909461000.0,924712000.0,55000000.0,1690000000.0,11261000000.0,,9571000000.0,,6307000000.0,1217000000.0,2142000000.0,596000000.0,120000000.0,778000000.0,,10668000000.0,,,13890000000.0,5723000000.0,396000000.0,210000000.0,41678000000.0,,14359000000.0,2984000000.0,436000000.0,20722000000.0,,157000000.0,14359000000.0,1636000000.0,5510000000.0,,,57793000000.0,21788000000.0,1440000000.0,,1027000000.0,,,,,15.41,15.15,47791000000.0,1257000000.0,,342000000.0,4768000000.0,2005000000.0,,,-121000000.0,144000000.0,741000000.0,587000000.0,7234000000.0,,25684000000.0,,342000000.0,69000000.0,116000000.0,,1051000000.0,-13854000000.0,,1471000000.0,271000000.0,27392000000.0,75183000000.0,51011000000.0,-115000000.0,3589000000.0,24930000000.0,1676000000.0,14013000000.0,,,25391000000.0,1139000000.0,,,,4300000000.0,155000000.0,4414000000.0,18595000000.0,7299000000.0,18385000000.0,,3257000000.0,3447000000.0,,,,,,2000000.0,1231000000.0,2263000000.0,5531000000.0,,,,18540000000.0,,,,1782000000.0,,,37169000000.0,65225000000.0,39541000000.0,,57793000000.0,,,,5517000000.0,,,879000000.0,,912000000.0,4527000000.0,,,,2005000000.0,,46718000000.0,,4414000000.0,,,-638000000.0,-116000000.0,,,-12273000000.0,60552000000.0,0.2441747572815534,1.0084307859668207,0.21484093522422384,0.7558252427184466,0.2932142035111213
2010-09-25,Q4,3,12015000000.0,245000000.0,2466000000.0,-46000000.0,-252000000.0,171000000.0,23000000.0,,,,,75183000000.0,1699000.0,1371000.0,55000000.0,1690000000.0,11261000000.0,,9571000000.0,,3495000000.0,411000000.0,2063000000.0,109000000.0,49000000.0,1017000000.0,,10668000000.0,,,4154000000.0,5723000000.0,396000000.0,210000000.0,41678000000.0,,14359000000.0,2984000000.0,436000000.0,20722000000.0,,157000000.0,14359000000.0,1636000000.0,5510000000.0,,,16475000000.0,7740000000.0,142000000.0,,329000000.0,,,,,4.71,4.64,47791000000.0,256000000.0,,342000000.0,4768000000.0,760000000.0,,,,144000000.0,741000000.0,587000000.0,7234000000.0,,7512000000.0,,342000000.0,,53000000.0,,1051000000.0,-4383000000.0,,1471000000.0,,27392000000.0,75183000000.0,51011000000.0,,3589000000.0,5172000000.0,,4308000000.0,,,25391000000.0,1139000000.0,,,,4300000000.0,14000000.0,4414000000.0,5683000000.0,2065000000.0,5447000000.0,,3257000000.0,3447000000.0,,,,,,-24000000.0,1231000000.0,2263000000.0,5531000000.0,,,,5461000000.0,,,,494000000.0,,,37169000000.0,20343000000.0,12831000000.0,,16475000000.0,,,,1571000000.0,,,224000000.0,,179000000.0,1153000000.0,,,,760000000.0,,12912000000.0,,4414000000.0,,,-23000000.0,-53000000.0,,,-12273000000.0,17311000000.0,0.21113349203442594,1.0025702221406279,0.2117681757852824,0.7888665079655741,0.0901424954489339
2010-12-25,Q1,3,14301000000.0,,2767000000.0,114000000.0,-9000000.0,72000000.0,,,,,,86742000000.0,919294000.0,933154000.0,62000000.0,,10734000000.0,,,,2346000000.0,634000000.0,517000000.0,-166000000.0,558000000.0,653000000.0,,11502000000.0,,,6164000000.0,5953000000.0,452000000.0,152000000.0,43927000000.0,,16243000000.0,3541000000.0,455000000.0,23795000000.0,,183000000.0,16243000000.0,1724000000.0,6027000000.0,,,19575000000.0,6853000000.0,823000000.0,,356000000.0,,,,,6.53,6.43,54666000000.0,429000000.0,,,5868000000.0,1214000000.0,,,,149000000.0,741000000.0,,8635000000.0,,10298000000.0,,522000000.0,,49000000.0,,885000000.0,-10729000000.0,,1968000000.0,,32076000000.0,86742000000.0,26977000000.0,,4457000000.0,3279000000.0,,6004000000.0,,,32730000000.0,1216000000.0,,,,5418000000.0,136000000.0,4847000000.0,9773000000.0,2471000000.0,7827000000.0,,3184000000.0,3467000000.0,,,,,,23000000.0,1647000000.0,2954000000.0,7065000000.0,,,,7963000000.0,,,,575000000.0,,,43050000000.0,26741000000.0,16443000000.0,,19575000000.0,,,,1896000000.0,,,299000000.0,,208000000.0,1959000000.0,,,,1214000000.0,,10132000000.0,,4847000000.0,,,,-49000000.0,,,-14522000000.0,,0.2460128092427477,1.0173757506068737,0.22452413896264165,0.7539871907572523,0.10983060769033769
2011-03-26,Q2,3,13714000000.0,,3175000000.0,126000000.0,-91000000.0,92000000.0,,,,,,94904000000.0,923196000.0,935944000.0,57000000.0,,15978000000.0,,,,-720000000.0,64000000.0,-229000000.0,45000000.0,1328000000.0,1021000000.0,,12326000000.0,,,5999000000.0,7022000000.0,487000000.0,,46997000000.0,,13256000000.0,3591000000.0,514000000.0,24327000000.0,,179000000.0,13256000000.0,1683000000.0,5798000000.0,,,22685000000.0,14852000000.0,740000000.0,,434000000.0,,,,,6.49,6.4,61477000000.0,547000000.0,,,6241000000.0,624000000.0,,,,165000000.0,741000000.0,,9416000000.0,,10218000000.0,,507000000.0,,32000000.0,,930000000.0,-1522000000.0,,1995000000.0,,33427000000.0,94904000000.0,29234000000.0,,5069000000.0,6932000000.0,,5987000000.0,,,36533000000.0,1230000000.0,,,,6150000000.0,26000000.0,5297000000.0,6219000000.0,2344000000.0,7874000000.0,,2750000000.0,4055000000.0,,,,,,-35000000.0,1720000000.0,3885000000.0,7870000000.0,,,,7900000000.0,,,,581000000.0,,,49025000000.0,24667000000.0,14449000000.0,,22685000000.0,,,,1763000000.0,,,287000000.0,,286000000.0,1913000000.0,,,,624000000.0,,21784000000.0,,5297000000.0,,,,-32000000.0,,,-14509000000.0,,0.24215189873417722,1.0033020066040133,0.24271293631167146,0.7578481012658228,0.09738601428176391
